libfakeroot:arm64	1.21-3.1
libfastjson4:arm64	0.99.4-1
libfdisk1:arm64	2.29.2-1+deb9u1
libfdt-dev	1.4.2-1
libfdt1:arm64	1.4.2-1
libffi6:arm64	3.2.1-6
libfile-fcntllock-perl	0.22-3+b2
libfile-stripnondeterminism-perl	0.034-1
libfribidi0:arm64	0.19.7-1+deb9u1
libgbm-dev:arm64	13.0.6-1+b2
libgbm1:arm64	13.0.6-1+b2
libgc1c2:arm64	1:7.4.2-8
libgcc-6-dev:arm64	6.3.0-18+deb9u1
libgcc1:arm64	1:6.3.0-18+deb9u1
libgcrypt20:arm64	1.7.6-2+deb9u3
libgdbm3:arm64	1.8.3-14
libgirepository-1.0-1:arm64	1.50.0-1+b1
libgl1-mesa-dev:arm64	13.0.6-1+b2
libgl1-mesa-dri:arm64	13.0.6-1+b2
libgl1-mesa-glx:arm64	13.0.6-1+b2
libglapi-mesa:arm64	13.0.6-1+b2
libgles2-mesa:arm64	13.0.6-1+b2
libgles2-mesa-dev:arm64	13.0.6-1+b2
libglib2.0-0:arm64	2.50.3-2+deb9u2
libglib2.0-data	2.50.3-2+deb9u2
libgmp10:arm64	2:6.1.2+dfsg-1
libgnutls30:arm64	3.5.8-5+deb9u5
libgomp1:arm64	6.3.0-18+deb9u1
libgpg-error0:arm64	1.26-2
libgpm2:arm64	1.20.4-6.2+b1
libgsasl7	1.8.0-8+b2
libgssapi-krb5-2:arm64	1.15-1+deb9u2
libhogweed4:arm64	3.3-1+b2
libicu57:arm64	57.1-6+deb9u4
libidn11:arm64	1.33-1+deb9u1
libidn2-0:arm64	0.16-1+deb9u1
libip4tc0:arm64	1.6.0+snapshot20161117-6
libip6tc0:arm64	1.6.0+snapshot20161117-6
libiptc0:arm64	1.6.0+snapshot20161117-6
libisl15:arm64	0.18-1
libitm1:arm64	6.3.0-18+deb9u1
libjsoncpp1:arm64	1.7.4-3
libk5crypto3:arm64	1.15-1+deb9u2
libkeyutils1:arm64	1.5.9-9
libkmod2:arm64	23-2
libkrb5-3:arm64	1.15-1+deb9u2
libkrb5support0:arm64	1.15-1+deb9u2
libksba8:arm64	1.3.5-2
libkyotocabinet16v5:arm64	1.2.76-4.2+b1
libldap-2.4-2:arm64	2.4.44+dfsg-5+deb9u5
libldap-common	2.4.44+dfsg-5+deb9u5
libllvm3.9:arm64	1:3.9.1-9
liblocale-gettext-perl	1.07-3+b1
liblogging-stdlog0:arm64	1.0.5-2+b2
liblognorm5:arm64	2.0.1-1.1+b1
libltdl-dev:arm64	2.4.6-2
libltdl7:arm64	2.4.6-2
liblz4-1:arm64	0.0~r131-2+b1
liblzma5:arm64	5.2.2-1.2+b1
liblzo2-2:arm64	2.08-1.2+b2
libmagic-mgc	1:5.30-1+deb9u3
libmagic1:arm64	1:5.30-1+deb9u3
libmail-sendmail-perl	0.79.16-2
libmailutils5:arm64	1:3.1.1-1
libmariadbclient18:arm64	10.1.47-0+deb9u1
libmnl0:arm64	1.0.4-2
libmount1:arm64	2.29.2-1+deb9u1
libmpc3:arm64	1.0.3-1+b2
libmpdec2:arm64	2.4.2-1
libmpfr4:arm64	3.1.5-1
libncurses5:arm64	6.0+20161126-1+deb9u2
libncursesw5:arm64	6.0+20161126-1+deb9u2
libnetfilter-conntrack3:arm64	1.0.6-2
libnettle6:arm64	3.3-1+b2
libnfnetlink0:arm64	1.0.1-3
libnghttp2-14:arm64	1.18.1-1+deb9u1
libnih-dbus1	1.0.3-8
libnih1	1.0.3-8
libnpth0:arm64	1.3-1
libntlm0:arm64	1.4-8
libp11-kit0:arm64	0.23.3-2
libpam-modules:arm64	1.1.8-3.6
libpam-modules-bin	1.1.8-3.6
libpam-runtime	1.1.8-3.6
libpam-systemd:arm64	232-25+deb9u12
libpam0g:arm64	1.1.8-3.6
libpciaccess-dev:arm64	0.13.4-1+b2
libpciaccess0:arm64	0.13.4-1+b2
libpcre3:arm64	2:8.39-3
libperl5.24:arm64	5.24.1-3+deb9u7
libpipeline1:arm64	1.4.1-2
libpopt0:arm64	1.16-10+b2
libprocps6:arm64	2:3.3.12-3+deb9u1
libprotobuf10:arm64	3.0.0-9
